Kidney Cancer Detection
KIT	
"HCF"	"MS"
CLL	CLL
1.886760	1.886760
1.824130	1.824130
1.230110	1.230110
1.315380	1.315380
0.241745	0.241745
1.023230	1.023230
1.604660	1.604660
0.921181	0.921181
2.284440	2.284440
0.879045	0.879045
1.030010	1.030010
1.783560	1.783560
1.758970	1.758970
1.861690	1.861690
1.313540	1.313540
1.689700	1.689700
1.345260	1.345260
2.929440	2.929440
1.460130	1.460130
1.321300	1.321300
0.407222	0.407222
1.741730	1.741730
0.573682	0.573682
1.842150	1.842150
1.023810	1.023810
1.462350	1.462350
1.286070	1.286070
1.792490	1.792490
0.736669	0.736669
1.056130	1.056130
1.597080	1.597080
0.412714	0.412714
1.107180	1.107180
2.410710	2.410710
0.621514	0.621514
1.846520	1.846520
2.038890	2.038890
1.786150	1.786150
1.727860	1.727860
1.717310	1.717310
0.745033	0.745033
1.361190	1.361190
1.216380	1.216380
1.631730	1.631730
1.794500	1.794500
1.364160	1.364160
0.939110	0.939110
2.194690	2.194690
1.228610	1.228610
0.905607	0.905607
1.530330	1.530330
1.935140	1.935140
0.603917	0.603917
1.827360	1.827360
1.342950	1.342950
8.438480	8.438480
-0.868874	-0.868874
-2.412560	-2.412560
-11.753100	-11.753100
-1.753700	-1.753700
3.108460	3.108460
4.850170	4.850170
2.541900	2.541900
7.255250	7.255250
5.828980	5.828980
8.942370	8.942370
5.875940	5.875940
0.569421	0.569421
7.879260	7.879260
3.449320	3.449320
7.774430	7.774430
2.569220	2.569220
3.655650	3.655650
2.041050	2.041050
4.238990	4.238990
6.555580	6.555580
5.716390	5.716390
4.505320	4.505320
5.392250	5.392250
5.378370	5.378370
2.419830	2.419830
1.434960	1.434960
6.171170	6.171170
7.425410	7.425410
3.357400	3.357400
5.227080	5.227080
2.640740	2.640740
2.574750	2.574750
1.509640	1.509640
7.804730	7.804730
0.723566	0.723566
0.101279	0.101279
0.662913	0.662913
1.337100	1.337100
-0.266229	-0.266229
-0.820258	-0.820258
0.936073	0.936073
0.540895	0.540895
-0.021718	-0.021718
-1.806080	-1.806080
0.019490	0.019490
3.323210	3.323210
-0.710839	-0.710839
-0.001524	-0.001524
0.326748	0.326748
1.794150	1.794150
1.916730	1.916730
3.001110	3.001110
3.193930	3.193930
2.376920	2.376920
2.315730	2.315730
1.768810	1.768810
1.257510	1.257510
1.507100	1.507100
2.794610	2.794610
1.266280	1.266280
2.103670	2.103670
1.431850	1.431850
1.259980	1.259980
0.175895	0.175895
1.370330	1.370330
2.413610	2.413610
1.758040	1.758040
2.463350	2.463350
0.935938	0.935938
0.272211	0.272211
2.038630	2.038630
2.197810	2.197810
2.441670	2.441670
1.941550	1.941550
1.877400	1.877400
2.068740	2.068740
2.015640	2.015640
1.365020	1.365020
2.118400	2.118400
2.027140	2.027140
0.926600	0.926600
2.222390	2.222390
2.000530	2.000530
2.161480	2.161480
1.293960	1.293960
1.808000	1.808000
1.876500	1.876500
1.604210	1.604210
2.181150	2.181150
1.707420	1.707420
1.426720	1.426720
1.723890	1.723890
2.412130	2.412130
1.910840	1.910840
1.202050	1.202050
1.995460	1.995460
1.372770	1.372770
1.946380	1.946380
3.618330	3.618330
4.028730	4.028730
2.442700	2.442700
1.447740	1.447740
1.814590	1.814590
0.301296	0.301296
2.114910	2.114910
2.627860	2.627860
1.687260	1.687260
2.147100	2.147100
1.677240	1.677240
2.085300	2.085300
1.657300	1.657300
1.676760	1.676760
2.186970	2.186970
1.931120	1.931120
1.686100	1.686100
2.314900	2.314900
2.088870	2.088870
1.819620	1.819620
1.705490	1.705490
2.369260	2.369260
2.489710	2.489710
2.569320	2.569320
0.919353	0.919353
1.216480	1.216480
2.801780	2.801780
1.419100	1.419100
1.775590	1.775590
1.550090	1.550090
1.696820	1.696820
1.533060	1.533060
3.312970	3.312970
1.684330	1.684330
1.027400	1.027400
2.308430	2.308430
2.252350	2.252350
2.831920	2.831920
1.206690	1.206690
1.428800	1.428800
1.887120	1.887120
1.571160	1.571160
1.672950	1.672950
1.266030	1.266030
0.410432	0.410432
1.971510	1.971510
1.525500	1.525500
2.344910	2.344910
2.278000	2.278000
2.642150	2.642150
1.537080	1.537080
0.929606	0.929606
1.936790	1.936790
1.615710	1.615710
2.452190	2.452190
2.114860	2.114860
2.630840	2.630840
0.740181	0.740181
2.133340	2.133340
2.321890	2.321890
1.588240	1.588240
1.847600	1.847600
1.887670	1.887670
2.264150	2.264150
1.977760	1.977760
1.152540	1.152540
1.183100	1.183100
2.603520	2.603520
0.751414	0.751414
1.332160	1.332160
1.320790	1.320790
1.961560	1.961560
1.871130	1.871130
2.328460	2.328460
1.262170	1.262170
2.070520	2.070520
1.652610	1.652610
0.912310	0.912310
1.943780	1.943780
1.801120	1.801120
1.594820	1.594820
2.234160	2.234160
1.874200	1.874200
1.779790	1.779790
1.980520	1.980520
2.126100	2.126100
1.442880	1.442880
1.556500	1.556500
1.756700	1.756700
1.610190	1.610190
1.158950	1.158950
1.623920	1.623920
3.057820	3.057820
1.792950	1.792950
1.240170	1.240170
2.595280	2.595280
1.919810	1.919810
1.307400	1.307400
2.119700	2.119700
1.292870	1.292870
2.427680	2.427680
2.036160	2.036160
2.357880	2.357880
1.335120	1.335120
1.720070	1.720070
1.925000	1.925000
1.409540	1.409540
1.576910	1.576910
2.042860	2.042860
2.128690	2.128690
1.923540	1.923540
2.263090	2.263090
1.572360	1.572360
1.517670	1.517670
1.211540	1.211540
0.705947	0.705947
2.508570	2.508570
1.351860	1.351860
1.175610	1.175610
2.361480	2.361480
2.126210	2.126210
1.619500	1.619500
2.026140	2.026140
1.358390	1.358390
1.566810	1.566810
1.865770	1.865770
0.920782	0.920782
1.900030	1.900030
1.128800	1.128800
2.197180	2.197180
1.722350	1.722350
1.787170	1.787170
1.358750	1.358750
1.195290	1.195290
2.581640	2.581640
2.450290	2.450290
1.792050	1.792050
2.673510	2.673510
1.970340	1.970340
2.237570	2.237570
1.479680	1.479680
1.950980	1.950980
2.401450	2.401450
0.688825	0.688825
1.394420	1.394420
0.594493	0.594493
0.845659	0.845659
0.909290	0.909290
1.722860	1.722860
0.830424	0.830424
1.291080	1.291080
2.193390	2.193390
0.640813	0.640813
2.810010	2.810010
2.446110	2.446110
1.856460	1.856460
0.365495	0.365495
1.961510	1.961510
1.850350	1.850350
1.659550	1.659550
1.164300	1.164300
1.923960	1.923960
1.309740	1.309740
2.737430	2.737430
1.573140	1.573140
1.092760	1.092760
2.360760	2.360760
2.381810	2.381810
2.327600	2.327600
1.756140	1.756140
1.796580	1.796580
1.659980	1.659980
1.937670	1.937670
1.136180	1.136180
1.674010	1.674010
1.090850	1.090850
1.990020	1.990020
1.880670	1.880670
2.318020	2.318020
1.887100	1.887100
0.633512	0.633512
0.936905	0.936905
1.915550	1.915550
2.465370	2.465370
2.344360	2.344360
2.132940	2.132940
2.301300	2.301300
1.574870	1.574870
1.212640	1.212640
1.918860	1.918860
1.991990	1.991990
1.632830	1.632830
2.118780	2.118780
1.361040	1.361040
0.523229	0.523229
1.596450	1.596450
2.159780	2.159780
1.830800	1.830800
1.659550	1.659550
1.164300	1.164300
1.923960	1.923960
1.309740	1.309740
2.737430	2.737430
1.573140	1.573140
1.092760	1.092760
2.360760	2.360760
2.381810	2.381810
2.327600	2.327600
1.756140	1.756140
1.796580	1.796580
1.659980	1.659980
1.937670	1.937670
1.136180	1.136180
1.674010	1.674010
1.090850	1.090850
1.990020	1.990020
1.880670	1.880670
2.318020	2.318020
1.887100	1.887100
0.633512	0.633512
0.936905	0.936905
1.915550	1.915550
2.465370	2.465370
2.344360	2.344360
2.132940	2.132940
2.301300	2.301300
1.574870	1.574870
1.212640	1.212640
1.918860	1.918860
1.991990	1.991990
1.632830	1.632830
2.118780	2.118780
1.361040	1.361040
0.523229	0.523229
1.596450	1.596450
2.159780	2.159780
1.830800	1.830800
2.572840	2.572840
0.635287	0.635287
2.022780	2.022780
1.291740	1.291740
1.626170	1.626170
0.654247	0.654247
0.699567	0.699567
1.984350	1.984350
1.731540	1.731540
0.792136	0.792136
2.183430	2.183430
1.399280	1.399280
2.029380	2.029380
1.765330	1.765330
1.832000	1.832000
1.918720	1.918720
0.779657	0.779657
2.841800	2.841800
1.295700	1.295700
1.422940	1.422940
1.837690	1.837690
2.069240	2.069240
1.876750	1.876750
0.830413	0.830413
0.863788	0.863788
1.234020	1.234020
2.153060	2.153060
-0.620602	-0.620602
1.738210	1.738210
-0.254854	-0.254854
1.901260	1.901260
0.276850	0.276850
5.455370	5.455370
0.725909	0.725909
-1.832940	-1.832940
1.098940	1.098940
0.510198	0.510198
0.065784	0.065784
0.416691	0.416691
-1.694750	-1.694750
-1.792520	-1.792520
-1.367400	-1.367400
1.131430	1.131430
1.078960	1.078960
-1.721450	-1.721450
-0.383722	-0.383722
1.907070	1.907070
-1.239440	-1.239440
0.666943	0.666943
-1.308450	-1.308450
0.069653	0.069653
-0.224939	-0.224939
0.010886	0.010886
-1.225240	-1.225240
-0.894401	-0.894401
0.345980	0.345980
-0.431443	-0.431443
*	*
-0.493342	-0.493
0.595411	0.595
-1.997000	-1.997
0.172170	0.172
-0.063195	-0.063
-1.573450	-1.573
0.737838	0.738
1.069270	1.069
0.126528	0.127
-1.852930	-1.853
*	*
